,date,location,position,rating,employee_type,title,pros,cons,recommander,approbation du pdg,perspective commerciale,employment_duration,group,grade,grade_hierarchical,sous_theme_pro: Autonomie et liberté d’action / confiance,sous_theme_con: Autonomie et liberté d’action / confiance,sous_theme_pro: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_con: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_pro: Opportunité de développement professionnel,sous_theme_con: Opportunité de développement professionnel,sous_theme_pro: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_con: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_pro: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_con: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_pro: Outils et infrastructures,sous_theme_con: Outils et infrastructures,sous_theme_pro: Flexibilité,sous_theme_con: Flexibilité,sous_theme_pro: Equilibre vie privée - vie professionnelle,sous_theme_con: Equilibre vie privée - vie professionnelle,sous_theme_pro: Charge de travail / travail stressant,sous_theme_con: Charge de travail / travail stressant,sous_theme_pro: Aspect financier,sous_theme_con: Aspect financier,theme_pro: Contenu et exécution du travail,theme_con: Contenu et exécution du travail,theme_pro: Environnement de travail,theme_con: Environnement de travail,theme_pro: Aménagement du travail,theme_con: Aménagement du travail,theme_pro: Aspect financier,theme_con: Aspect financier,source
111,2021-03-14 00:00:00,Paris,Auditeur stagiaire,3,"Ancien stagiaire, moins d'un an",Professionnalisant,Formation intéressante et applicable très rapidement chez les clients,"Peu de gratification de la part des managers, manque de feedback",1,0,0,0.5,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,kpmg
112,2021-03-14 00:00:00,Paris,Audit,3,Ancien employé,Good,"Une bonne ambiance, moyenne d'âge basse","Work/life balance, work on weekends",-1,0,0,,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,0,0,kpmg
113,2021-03-13 00:00:00,Paris,Consultante,3,Ancien employé,Moyen,Outils de qualités et compétent,Equilibre vie pro vie perso presque’ inexistant,0,1,0,,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,kpmg
114,2021-03-12 00:00:00,Paris,Advisory,4,Ancien employé,"Bonne ambiance, salaire bas",Ambiance familiale et managers comprehensifs,"Salaires non négociables, bloqués aux grilles des écoles et formations suivies.",0,1,0,,,Unknown,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,kpmg
115,2021-03-11 00:00:00,Paris,Transaction Services,5,"Ancien stagiaire, moins d'un an",Stagiaire Transction Services,- Très forte exposition; - Équipe très inclusive; - Progression,- Rémunération; - Travail assez unidimensionnel (finance),1,0,0,0.5,,Unknown,Unknown,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,kpmg
116,2021-03-11 00:00:00,Paris,Audit Senior,5,Employé actuel,KPMG,TOp ambiance de travail génial,"Pas assez diversifié parfois, saisonnier",0,0,0,,,Unknown,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,kpmg
117,2021-03-11 00:00:00,Paris,Auditeur Financier - Junior,4,"Employé actuel, plus d'un an",Auditeur,Bonne ambiance; Esprit d’équipe ; Disponibilité ; Suivi de la carrière,Je ne vois pas d’inconvénient majeur,1,1,1,2,,Unknown,Unknown,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,kpmg
118,2021-03-10 00:00:00,Lyon,Consultant Junior,5,"Employé actuel, plus d'un an",Poste intéressant pour débuté une carrière,Montée en compétences rapide et interessante,"Contraintes horaires, inter mission ennuyeux",1,1,1,2,,Unknown,Unknown,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,kpmg
119,2021-03-09 00:00:00,Nantes,Auditeur Financier - Junior,3,"Ancien employé, moins d'un an",.,"Tickets resto, déjeuners au restaurant, équipes jeunes","Peu de prise d'initiative, travaux tres segmentés en fonction du grade ou de l'ancienneté",1,0,0,0.5,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kpmg
120,2021-03-09 00:00:00,Paris,Employé anonyme,4,"Employé actuel, plus de 3&nbsp;ans",De belles perspectives,"bonne culture d'entreprise, beaucoup d'initiatives en faveur du bien être des salariés, des passerelles entre métiers, des possibilités de bénévolat sur le temps de travail",grande entreprise donc on peut tomber sur une personne avec qui ça ne passe pas mais je trouve que ça reste vraiment minoritaire ; beaucoup de travail (lié au secteur),1,1,1,4,,Unknown,Unknown,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,1,1,0,0,kpmg
121,2021-03-08 00:00:00,Paris,Auditeur Financier,5,Ancien stagiaire,positif,pas mal de trucs vraiment intéressant,très très redondant et chronophage,1,0,1,,,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,kpmg
122,2021-03-08 00:00:00,Courbevoie,Auditeur Financier Senior,2,"Ancien employé, plus d'un an",Utile pour l'expérience,"Tous les outils et process en place permettent de se mettre à 100% sur le job en question et non aux problématiques tiers (informatiques, problémes RH...)","Balance vie pro/perso très mauvaise; Peu d'avantages divers : réductions, voyages etc..",1,0,1,2,,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,kpmg
123,2021-03-08 00:00:00,Paris,Senior Consultant,4,Employé actuel,Consultant,les Missions peuvent être diversifiées,"les salaires ne sont pas très intéressants, Peu de Formations",0,0,0,,,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,kpmg
124,2021-03-07 00:00:00,Paris,Audit financier senior,5,Employé actuel,Top,"Humain, esprit d’équipe, formation, professionnalisme","Variant faible du fait du métier, sinon rien d’autre à signaler",1,1,1,,,Unknown,Unknown,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,kpmg
125,2021-03-05 00:00:00,Nantes,Transaction Services Intern,5,Employé actuel,Expérience enrichissante,+ Analyse financière; + Rigueur; + Formation,-Rien à dire de négatif,0,0,0,,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,kpmg
126,2021-03-05 00:00:00,Paris,IT Consultante,4,"Employé actuel, plus d'un an",Très bonne expérience,Managers à l'écoute et bienveillants; Evenements organisés même pendant la période de télétravail; Formations régulières,Disparités dans la charge de travail; Hiérarchie importante,1,1,1,2,,Unknown,Unknown,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,kpmg
127,2021-03-05 00:00:00,Paris,Auditeur IT,4,"Employé actuel, plus d'un an",Une boîte dynamique,"- dynamisme,; - expertise,; - jeunesse,; - évolution rapide.","- horaires,; - stress,; - méthodologie peu agile.",1,1,1,2,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,kpmg
128,2021-03-04 00:00:00,Paris,Stagiaire auditeur stagiaire,3,"Ancien stagiaire, moins d'un an",Stage en audit,"Bonne formation, apprentissage rapide, nom sur le CV",Des efforts à fournir pour l'ambiance de travail et les horaires,-1,0,0,0.5,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,kpmg
129,2021-03-03 00:00:00,Paris,Auditeur Financier Senior,4,Employé actuel,Bien,Progression rapide; Portefeuille de client varié,Comme tous les cabinets d'audit,1,1,0,,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,kpmg
130,2021-03-03 00:00:00,Paris,Project Manager,4,"Ancien employé, plus d'un an",Consulting,"Ambiance, Motivation, Enagement, Valeur et Culture","Stress, salaire, volume, exigence et formation",1,1,0,2,,Manager,Senior,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,kpmg
131,2021-03-02 00:00:00,Paris,Auditeur stagiaire,5,"Ancien stagiaire, moins d'un an",Stage formateur,KPMG est l'idéal pour un stage formateur en audit,Peu d'inconvénients en lien direct avec le métier.,1,0,0,0.5,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,kpmg
132,2021-03-02 00:00:00,Paris,contrôleur de gestion,5,"Employé actuel, plus d'un an",Bon,très belle opportunité pour un début de carrière,Climat de travail à revoir,-1,-1,0,2,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,kpmg
133,2021-03-01 00:00:00,Paris,Superviseur,4,Employé actuel,Une expérience positive,"Un groupe engagé, responsable, respectueux de ses collaborateurs","Image vieillissante, parfois lent à la transformation",0,0,0,,,Supervisor,Intermédiaire,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,kpmg
134,2021-03-01 00:00:00,Paris,Product Owner,3,Employé actuel,Enrichissant mais tourne en rond,13 ème mois; Bonus sur objectif; Un nom en plus sur le CV; Selon le department où on travail de belles responsabilités peuvent être donnés. ; Donne sa chance aux personnes motivés et à la tête bien faite,"Sclérosé par ses propres process ( copil, codir, cab, ecab...).; Trop de personnes ayant une mini autorité qui en joue de trop; Trop de politique ; Sentiment que tes propres collègues des autres départements te mettent des bâtons dans les roues.",1,1,0,,,Unknown,Unknown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,1,0,kpmg
135,2021-03-01 00:00:00,Paris,Auditeur stagiaire,5,"Stagiaire actuel, moins d'un an",Retour d'expérience,Diversité des business unit/secteurs ; Courbe d'apprentissage exponentielle pour un stagiaire,Aucun inconvénient rencontré lors de mon expérience,1,0,0,0.5,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,kpmg
136,2021-02-27 00:00:00,Paris,Auditeur Financier - Junior,4,Employé actuel,Expérience enrichissante et positive,Missions intéressantes et formatrices. Bonne esprit d’équipe et professionnalisme.,Horaires parfois compliqués pendant la busy season (Janvier-Mars). Mais cela est propre à l’audit,1,0,1,,,Unknown,Unknown,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,kpmg
137,2021-02-26 00:00:00,Paris,Senior Consultant - Advisory Services,4,Employé actuel,Avis KPMG Advisory,Bonne entreprise pour développer ses compétences à la sortie des études. ; Bonne politique de rémunération,Des horaires qui peuvent parfois être soutenus,0,0,0,,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,1,0,kpmg
138,2021-02-26 00:00:00,Paris,Consultant,4,Employé actuel,Bon entreprise pour débuter,- Diversité missions; - Collaborateurs jeunes; - Formations et accompagnement,- Salaires assez bas; - Pas d'intéressement et participation faible,1,1,1,,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,kpmg
139,2021-02-25 00:00:00,"Bordeaux, Nouvelle-Aquitaine",Stagiaire expert comptable,5,"Ancien stagiaire, moins d'un an",Stagiaire expert comptable,Tickets restaurants + indemnités kilomètres + jours de congès pour le mémoire de fin d'étude,Yoyo en terme de charge de travail - parfois ennui - parfois dans le rush,1,1,1,0.5,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,kpmg
140,2021-02-23 00:00:00,Courbevoie,Auditeur Financier - Junior,2,"Ancien employé, moins d'un an",A essayer,Une bonne ligne sur le CV. Cela est assez formateur.,Nocturnes à répétition. Salaires pas très attractifs en début de carrière.,1,0,0,0.5,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,1,kpmg
141,2021-02-23 00:00:00,Paris,Auditeur Financier Senior,3,"Employé actuel, plus de 3&nbsp;ans",Audit Financier Senior,"Enrichissant (formation métier, dossiers divers, pas de routine, du management très tôt)",Reconnaissance faible sur le plan professionnel; Peu d'avantages sociaux,0,1,0,4,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,kpmg
142,2021-02-22 00:00:00,Strasbourg,Collaboratrice Comptable,3,"Ancien employé, plus de 3&nbsp;ans",Peu mieux faire,"Expérience, bien sur le cv, collègues","Le reste, ce, direction entre autre",-1,0,0,4,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kpmg
143,2021-02-22 00:00:00,Courbevoie,Analyste Transaction Services,1,"Ancien employé, plus de 3&nbsp;ans",Formation,Formateur et on travaille sur plusieurs secteurs,Horaire très contraignants ; Salaire minable,-1,0,0,4,,Analyst,Junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,kpmg
144,2021-02-22 00:00:00,Paris,Chargée de recrutement,1,Ancien employé,-,"13 mois, sinon pas d’avantage ouf!",Environnement/ Climat de travail malsain..,0,0,0,,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,kpmg
145,2021-02-22 00:00:00,Paris,Supervisor,5,"Employé actuel, plus de 3&nbsp;ans",Une entreprise exigeante qui fait grandir ses salariés,Très vite au contact de décideurs; Bons salaires; Management a l'écoute et qui a a coeur de faire grandir les gens,"Charge de travail variable, mais globalement importante",1,1,1,4,,Supervisor,Intermédiaire,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0,1,1,0,kpmg
146,2021-02-22 00:00:00,Paris,Manager,5,"Ancien employé, plus d'un an",Très bon cabinet pour grandir et se développer,"Cabinet en croissance, bienveillance générale, bon accompagnement","Communication externe, surstaffing des équipes",1,1,1,2,,Manager,Senior,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,kpmg
147,2021-02-22 00:00:00,Paris,Consultant Stagiaire,4,"Stagiaire actuel, moins d'un an",Une bonne rémunération pour les stagiaires,"Des missions intéressantes, des équipes jeunes et dynamiques et un bon salaire pour les stagiaires",Je n'en vois pas particulièrement,0,0,0,0.5,,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,kpmg
148,2021-02-19 00:00:00,Paris,Manager - Advisory,5,"Employé actuel, plus de 3&nbsp;ans",Excellent cabinet en termes de qualité d'offre engagé dans la bienveillance !,Un réseau international puissant avec de nombreuses missions menées conjointement avec le réseau KPMG à l'international ; Une forte notoriété chez les clients avec une marque qui facilite le gain de missions; Des collaborateurs de qualité; Un engagement fort pour la bienveillance envers les collaborateurs avec une communication régulière bottom-up pour collecter les problèmes et apporter des solutions,"Une prudence trop poussée dans les choix d'investissement et de développement qui ralentissent la croissance du cabinet par rapport à ses concurrents en France et les autres entités KPMG dans le monde.; ; Des écarts importants entre certains départements du cabinets en termes de maturité, efficacité et croissance",1,1,1,4,,Manager,Senior,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,kpmg
149,2021-02-17 00:00:00,Paris,Senior Consultant,4,"Employé actuel, plus de 3&nbsp;ans",expérience positive,bon équilibre travail/vie : bonne culture,"""salaires bas, bonus bas, pas beaucoup de déplacements à l'étranger""",1,1,1,4,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,kpmg
150,2021-02-15 00:00:00,Paris,Consultante,2,"Ancien stagiaire, moins d'un an",Ambiance pas très fun,La cantine; La conciergerie ; La salle de sport ; Équipe IT très performante ; Autres services à l’écoute,"Equipe pas très soudée, ambiance trop stricte, culture du presenteisme omniprésente",-1,1,0,0.5,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,kpmg
151,2021-02-15 00:00:00,Paris,Senior Consultant,5,"Employé actuel, plus d'un an",Très bon cabinet !,"cabinet performant, croissance rapide, belle ligne sur le CV",Salaire un peu en dessous des concurrents,1,1,1,2,,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,kpmg
152,2021-02-15 00:00:00,Paris,Audit Financier,3,"Employé actuel, plus de 3&nbsp;ans",Belle expérience,"Apprentissage, ambiance, dynamisme, culture, salaire","Beaucoup de travail, vie privée vs. vie professionnelle",1,0,1,4,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3,1,0,kpmg
153,2021-02-14 00:00:00,Paris,Auditeur Financier Stagiaire,5,Ancien stagiaire,Bonnes conditions de travail,"Bon salaire, ambiance, formateur, bienveillance",Horaires qui dépassent assez souvent les 35h,0,0,0,,,Unknown,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,2,1,0,kpmg
154,2021-02-12 00:00:00,Nantes,Auditeur Financier - Junior,5,Employé actuel,Poste,"Management agréable, montée en compétence, esprit d’équipe","Charge de travail, perspectives d’évolution limitées",0,0,0,,,Unknown,Unknown,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,kpmg
155,2021-02-11 00:00:00,Rennes,Audit,5,Employé actuel,superfzfzzfzf,"zfzf bonne équipe, formateur, missions variées","déplacements, horaires, responsabilités, vie perso",1,1,0,,,Unknown,Unknown,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,2,0,0,kpmg
156,2021-02-10 00:00:00,Paris,Stagiaire Auditeur financier ,5,"Ancien employé, moins d'un an",Super Stage!,"Pris en charge des déjeuners, missions intéressantes et bonne rémunération",Peut être les déplacements et de façon personnelle ce que je détestais c'était d'être obligée d'aller diner tous les soirs avec mes seniors en déplacement.,1,0,0,0.5,,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,kpmg
157,2021-02-10 00:00:00,Paris,Consultante,3,"Ancien employé, plus d'un an",Bonne école d'apprentissage,"Monter en competence rapidement, bonne reputation du métier et de la société","Peu de projets stratégique, le salaire en-sous de ses concurrents, l’équilibre vie perso/pro",0,0,0,2,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,kpmg
158,2021-02-10 00:00:00,Paris,Auditeur financier Manager,4,Employé actuel,Avis,C'est un travail qui développe les compétences trechniques avec un bon salaire et qui encourage la collaboration et le travail en équipe.,"C'est un travail avec une charge de travail importante, des trajets pouvant s'avérer longs et fatiguants et un investissement personnel significatif.",0,0,0,,,Manager,Senior,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,2,1,0,kpmg
159,2021-02-05 00:00:00,Paris,Senior Auditor,1,Ancien employé,Décevant,Expérience big4. On travaille a ec beaucoup de personnes.,"Tout le reste. Pas de temps pour la vie perso. On est sous l’eau toute l’année. Attention aux périodes d’essai, même si vous vous donnez à fond ils vont mettre fin à votre période d’essai sans merci!!!. Ils n’ont pas d’honte. Les valeurs de KPMG sont faux. Les vrais valeurs sont: profiteurs, misérables, et sans emphatie.",-1,-1,-1,,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,kpmg
160,2021-02-02 00:00:00,Paris,Senior Consultant,4,Employé actuel,Entreprise soutenant l'autonomie,- Diversité des projets; - Responsabilités variées et rapides,- Salaires peu adaptés à la charge de travail et aux responsabilités,1,0,0,,,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,kpmg
161,2021-02-01 00:00:00,Marne-la-Vallee,Employé anonyme,5,"Employé actuel, plus d'un an",Bonne entreprise,"Bonne ambiance , augmentation de salaire annuelle, prise de responsabilité",Charge de travail élevée en saison,1,1,1,2,,Unknown,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,2,1,0,kpmg
162,2021-01-31 00:00:00,Paris,IT Consultant,4,"Ancien employé, plus d'un an",good,"ambiance, salaire, restaurant, variété, jeune","grade, grade, grade, grade, temps de travail,,,",1,1,1,2,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,kpmg
163,2021-01-28 00:00:00,Paris,Auditeur senior expérimenté,4,"Employé actuel, plus de 3&nbsp;ans",Experience enrichissante,"Bonne ambiance de travail, montée rapide en grade, responsabilité et en salaire !",Peu de formation au vu des responsabilités à gérer,1,1,0,4,,Unknown,Unknown,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,kpmg
164,2021-01-27 00:00:00,Paris,Auditeur Senior,5,"Ancien employé, plus de 3&nbsp;ans",Expérience très enrichissante,"Evolution rapide, courbe d'apprentissage exponentielle, diversité des missions, esprit de promotion","horaires de travail très importants, pas de réel équilivre vie pro et privée en saison",1,1,1,4,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,kpmg
165,2021-01-27 00:00:00,Lille,Stagiaire anonyme,5,Ancien stagiaire,Expérience riche,Forte montée en compétences ; Contact clients,Journées parfois très denses à passer,1,1,1,,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,kpmg
166,2021-01-26 00:00:00,Paris,Auditeur senior expérimenté,4,"Employé actuel, plus de 3&nbsp;ans",Formateur,Gestion d’équipe ; Contact direct avec des clients haut placés; Évolution rapide,Équilibre vie professionnelle vie privée ; Stress,0,0,0,4,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,3,0,0,kpmg
167,2021-01-25 00:00:00,Lyon,Consultante,3,Employé actuel,KPMG,"CSE, PEE, tickets restaurant, Fondation d'entreprise","Salaire faible par rapport aux heures de travail, déplacements, stress",-1,1,1,,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,1,1,kpmg
168,2021-01-25 00:00:00,Paris,Audit,3,"Ancien employé, moins d'un an",Negatif,"Augmentation rapide, esprit de promotion","beaucoup de déplacement, beaucoup de travail",0,0,0,0.5,,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,kpmg
169,2021-01-25 00:00:00,Paris,Auditeur Financier Senior,4,"Employé actuel, plus de 3&nbsp;ans","Audit - Paris, Le Défense","Bonne ambiance en staff, Rémunération évolutive, Beaucoup de formation",L'ambiance dans une BU est assez dépendante de l'état d'esprit des associés,1,0,0,4,,Unknown,Unknown,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,kpmg
170,2021-01-25 00:00:00,Nanterre,Stagiaire anonyme,5,Ancien stagiaire,Super,ambiance d'équipe très sympa entre auditeurs,"Etre à la défense, beaucoup trop de monde",0,0,0,,,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,kpmg
171,2021-01-24 00:00:00,Paris,Advisory,5,"Stagiaire actuel, moins d'un an",Stage fin d'études,"Environnement bienveillant, bon encadrement des stagiaires malgré la situation du COVID qui complique les choses.",Vous ne travaillerez pas forcément sur le domaine d'expertise pour lequel vous avez été recruté.,0,0,0,0.5,,Unknown,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,kpmg
172,2021-01-23 00:00:00,Courbevoie,consolideur,3,"Ancien intérimaire, plus d'un an",Bien,Le batiment est tres beau,La paie est tres moche,1,0,1,2,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,kpmg
173,2021-01-22 00:00:00,Paris,Project Leader Strategy,3,Employé actuel,a,Bonne ambiance de travail en général,Manque de coaching / feedback,0,0,0,,,Unknown,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,kpmg
174,2021-01-22 00:00:00,Paris,Risk Consultant,3,"Employé actuel, plus de 3&nbsp;ans",Salaire,"Flexibilité, diversité, inclusion, missions sociales",Routine - Pas de turnover sur les missions longues et répétitives; Pas beaucoup d'avantages CE,1,1,0,4,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,kpmg
175,2021-01-21 00:00:00,Paris,Auditeur Financier Senior,4,"Ancien employé, plus de 3&nbsp;ans",Bonne ambiance,"Renommée internationale; Beaux mandats; Environnement jeune, bienveillant la plupart du temps; Meilleure ambiance des Big 4",Métier de plus en plus soumis aux règlementaire; Transfert d'un département à l'autre compliqué; Horaires de travail exigeants,0,0,0,4,,Unknown,Unknown,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,kpmg
176,2021-01-21 00:00:00,Lyon,Audit Junior,4,"Ancien stagiaire, moins d'un an",Salaire,"Formateur, clients, équipe, secteurs d'activité variés","Horaires parfois à rallonge, redondances",0,0,0,0.5,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,kpmg
177,2021-01-19 00:00:00,Paris,Stagiaire anonyme,4,Ancien stagiaire,Bonne expérience,Ce fut une bonne expérience,Rien à signaler. Tout s’est bien passé durant mon stage,0,0,0,,,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kpmg
178,2021-01-19 00:00:00,Paris,Stagiaire Auditeur financier ,5,"Stagiaire actuel, moins d'un an",Bonne expérience,"Bonne ambiance de travail, prise en compte de l'humain","Gros horaires parfois, mais cela reste rare",1,0,0,0.5,,Unknown,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,kpmg
